"","GSM1301444","GSM1301445","GSM1301446","GSM1301447","GSM1301448","GSM1301449","GSM1301450","GSM1301451","GSM1301452","GSM1301453","GSM1301454","GSM1301455","GSM1301456","GSM1301457","GSM1301458","GSM1301459","GSM1301460","GSM1301461","GSM1301462","GSM1301463","GSM1301464","GSM1301465","GSM1301466","GSM1301467","GSM1301468","GSM1301469","GSM1301470","GSM1301471","GSM1301472","GSM1301473","GSM1301474","GSM1301475","GSM1301476","GSM1301477","GSM1301478","GSM1301479"
"CST11",3.6984653,4.714471,7.529353,3.549292,3.3398309,3.7482836,7.205616,2.8292627,8.795073,2.9863107,2.780544,5.4793005,4.030966,2.853493,2.744758,5.96166,3.5832021,3.0130777,2.9105918,2.706654,2.7097526,3.6739168,3.0749512,2.897388,3.0296414,3.469903,2.6989992,3.0441868,2.7321367,2.6770582,2.7513196,2.7571342,2.830108,2.6866632,2.9542553,3.0749512
"SCIN",5.748233,7.7469068,6.287093,5.1514363,4.031484,6.215001,6.6507344,5.6284466,6.580204,4.926122,7.151644,6.003634,7.8668394,5.7446747,7.84308,8.164715,5.370993,5.839102,7.7599907,7.653567,8.379526,8.26037,8.776547,5.626726,5.6293364,9.980552,7.6706896,6.561608,6.9133763,6.624941,6.937384,10.518573,6.9711423,7.2672296,7.3452983,8.0244875
"CCL4",14.84259,14.305837,13.379243,15.780706,13.288939,14.119757,13.843323,14.146915,14.458905,12.332948,13.475171,14.030883,19.221727,15.228019,12.745144,13.476213,14.858038,15.39317,11.903217,13.194863,12.346338,13.673157,12.753682,13.434921,13.744857,11.170749,12.4079685,14.091855,11.635629,12.827658,12.727663,14.346302,12.729528,12.161169,15.40662,12.832178
"MGC50722",7.733392,9.538419,6.615609,7.588318,9.769578,6.615609,7.1419497,6.966768,5.655785,5.2506814,7.7576885,6.7549744,4.4374795,7.0703974,6.052001,6.549809,5.8228173,6.3072085,8.528649,8.275585,9.007588,8.056672,9.827261,5.9342494,7.511333,8.153334,8.054926,9.006103,7.7522864,7.3371,7.4418893,6.1118503,8.382481,10.0762415,11.425898,8.899651
"PRINS",12.9955635,14.758291,14.228525,13.431074,14.529626,13.522972,14.00633,12.600587,13.673836,12.745144,10.851821,13.795315,9.440524,13.911653,14.719542,13.912922,14.256988,11.928429,12.330151,12.018417,12.331003,12.988518,11.949785,11.347685,11.808604,13.225302,12.0710535,13.012178,12.013266,11.733139,12.047014,12.560449,11.478196,12.375072,11.628072,11.561071
"CHRNB2",6.410429,6.330667,6.033724,6.1654587,5.6799983,7.47081525,8.07799,8.25945585,6.3570972,9.45104025,9.59860675,6.0929147,6.3164726,5.70118155,5.27906285,6.5530875,7.5659005,6.1451376,6.019538,5.5130205,5.66188625,5.37862545,5.7332009,5.9016297,5.48668915,5.96029625,6.989059,5.4402285,5.6962021,5.66369965,5.61774715,5.51986135,6.1094755,5.85723435,6.4552347,5.93813595
"GATA6",9.477945,11.265561,8.810308,9.925788,10.621091,10.322642,10.262419,9.303446,8.862941,12.110303,10.621091,10.233239,5.8637013,10.677592,11.900349,8.825695,10.411985,9.269951,7.652072,8.507178,8.5153265,9.510661,8.465452,8.221588,8.126891,9.677397,8.145784,8.916433,8.289432,7.966779,8.806962,11.338582,8.4106245,8.322161,8.318093,8.754503
"UBE2QL1",6.294129,3.67325475,7.7104435,4.50700465,7.2305952,4.875255,6.047494,5.09125285,6.55733675,5.9632215,9.1004367,5.62241035,4.9154902,7.009187,8.5715585,6.6941983,6.1854115,6.8419039,3.5613427,5.32494125,4.03750065,5.1472445,4.6627315,4.2193182,5.208719,8.83554525,4.261192,5.0346515,4.8650487,4.59087515,4.831558,5.57214785,4.82795145,4.9109388,3.48194505,4.42442915
"EMP2",12.34102275,13.6657685,14.68095875,13.4890515,14.232117,13.782935,14.39427,15.36678,13.58684,12.8800565,14.8617195,14.0335995,9.7384715,12.031698,15.505831,14.0514165,14.4576305,13.426096,12.0099235,12.4955915,12.8888695,12.464215,12.965237,12.04787675,11.695389,13.6798135,12.6083975,13.060359,12.2019625,12.0673475,12.5074735,13.9611285,12.2675945,12.9352015,11.1730765,12.4415195
"KIAA1244",6.8466431,5.419205225,5.5693136,5.6996465,4.67826055,7.463048675,7.777030375,5.028781375,4.132107975,7.345344225,7.96994675,5.85422555,5.109356525,4.322105725,5.728482175,6.24440855,5.831520175,7.261483825,6.585258525,7.310052175,7.411788775,6.60470475,7.87545915,5.997401225,6.35374675,9.156289825,7.14338685,6.729428825,6.68853515,6.5193651,6.38034385,8.5596585,7.078692875,7.57711075,6.6634865,7.777563
