"","Gene","im_cell","Cor","p.value"
"78","C16orf8","NK.cells.activated",-0.225997425997426,0.184442329085329
"79","C16orf8","Monocytes",0.082578822915982,0.632076622546249
"80","C16orf8","Macrophages.M0",-0.546746454621478,0.000560107541874055
"81","C16orf8","Macrophages.M1",-0.501930501930502,0.00206341055236469
"82","C16orf8","Macrophages.M2",0.205443139567622,0.229352119891595
"83","C16orf8","Dendritic.cells.resting",-0.178350663552464,0.298009510266227
"84","C16orf8","Dendritic.cells.activated",-0.0648837877292065,0.706946531838499
"85","C16orf8","Mast.cells.resting",0.192010468708939,0.261912366988259
"86","C16orf8","Mast.cells.activated",-0.344557895906008,0.0396017059292136
"87","C16orf8","Eosinophils",-0.677134952171198,5.75521671479483e-06
"88","C16orf8","Neutrophils",-0.524950145730663,0.00101223747341855
"89","ADH1B","B.cells.naive",0.267575051179846,0.114631470191364
"90","ADH1B","B.cells.memory",0.6790729031762,5.2848021974478e-06
"91","ADH1B","Plasma.cells",-0.136135955549028,0.428544411111449
"92","ADH1B","T.cells.CD8",0.345945945945946,0.039368926672425
"93","ADH1B","T.cells.CD4.naive",-0.0735778856072933,0.669768283118634
"94","ADH1B","T.cells.CD4.memory.resting",0.732448676585758,3.8149290877883e-07
"95","ADH1B","T.cells.CD4.memory.activated",-0.280373881278893,0.0976644386539117
"96","ADH1B","T.cells.follicular.helper",0.0692332091824347,0.688257324188789
"97","ADH1B","T.cells.regulatory..Tregs.",-0.155212355212355,0.364635140024143
"98","ADH1B","T.cells.gamma.delta",-0.245691794230521,0.148634325967371
"99","ADH1B","NK.cells.resting",0.0327132382001213,0.849777044936242
"100","ADH1B","NK.cells.activated",-0.163191763191763,0.340249831161724
"101","ADH1B","Monocytes",0.143584591451343,0.403467143289721
"102","ADH1B","Macrophages.M0",-0.476606530895063,0.00329612726048286
"103","ADH1B","Macrophages.M1",-0.504247104247104,0.00195506545826599
"104","ADH1B","Macrophages.M2",0.181074266340491,0.290570641456669
"105","ADH1B","Dendritic.cells.resting",-0.328608520273688,0.0503718105674959
"106","ADH1B","Dendritic.cells.activated",0.0124245550970821,0.942666292149949
"107","ADH1B","Mast.cells.resting",0.0538660241076085,0.755027910291515
"108","ADH1B","Mast.cells.activated",-0.302611717273973,0.0728263961612776
"109","ADH1B","Eosinophils",-0.59167256702737,0.000144351570380782
"110","ADH1B","Neutrophils",-0.436335514545659,0.00780413887811318
